Planner,Reference,Description,,Location,"Std.
Pack",Unit,Loop Size,,MIHI,Quantity Information,,,,,
,,,,,,,,,,"Stock 
in Std Pack","Transit
in Std Pack","Ordered
in Std Pack","Promised
in Std Pack","Picked Up
(Supplier / Driver)",Received at VALEO
,,,,,,,,,,,,,,,
DB,395000, Obwoluta C1 ,,FLAT, 1 , SZT ,30,,,30 ,0 ,0 ,,,
DB,395001, Pudło C1 ,,FLAT, 1 , SZT ,30,,,30 ,0 ,0 ,,,
DB,395002, Przekładka ,,FLAT, 160 , PAL ,2,,,2 ,0 ,0 ,,,
DB,395002W, Wypełniacz H4 po 80 ,,FLAT, 40 , PAL ,40,,,40 ,0 ,0 ,,,
DB,395006, PALETA FITO ,,FLAT, 1 , PAL ,20,,,20 ,0 ,0 ,,,
DB,395014, Tektura w Rolce ,,FLAT, 1 , PAL ,8,,,8 ,0 ,0 ,,,
DB,395016, Przekładka ,,FLAT, 100 , PAL ,2,,,2 ,0 ,1 ,,,
DB,395017, Przekładka ,,FLAT, 160 , PAL ,2,,,2 ,0 ,0 ,,,
DB,395018, Kratownica BMW ,,FLAT, 10 , szt ,10,,,10 ,0 ,0 ,,,
DB,395019, Perzekładka BMW ,,FLAT,, szt ,20,,,20 ,0 ,0 ,,,
DB,395023, Papier antykorozyjny ,,FLAT, 1 , Rolka ,4,,,4 ,0 ,0 ,,,
DB,395029, Kratownica ,,FLAT, 10 , szt ,10,,,10 ,0 ,0 ,,,
DB,395031A, INDUKTOR 12 ,,FLAT, 40 , szt ,80,,,80 ,0 ,1 ,,,
DB,395031B, INDUKTOR 8 ,,FLAT, 40 , szt ,80,,,80 ,0 ,0 ,,,
DB,395031C, Switch CAP ,,FLAT, 40 , szt ,80,,,80 ,0 ,0 ,,,
DB,395036, Wkłady CED ,,FLAT," 1,000 ", szt ,1000,,,"1,000 ",0 ,0 ,,,
DB,395037, Wkłady INDUIT ,,FLAT," 1,000 ", szt ,1000,,,"1,000 ",0 ,0 ,,,
DB,395043, Kratownica H4 ( 45 ) ,,FLAT, 60 , SZT ,8,,,8 ,0 ,0 ,,,
DB,395047, RAMKA FITO ,,FLAT, 1 , PAL ,30,,,30 ,0 ,0 ,,,
DB,395048, Słupek FITO ,,FLAT, 1 , PAL ,100,,,100 ,0 ,0 ,,,
DB,395049, Przekładka ,,FLAT, 160 , PAL ,2,,,2 ,0 ,1 ,,,
DB,395051, Kratownica ,,FLAT, 70 , SZT ,7,,,7 ,0 ,0 ,,,
DB,395054, Pudełko REDUKTOR ,,FLAT, 50 , szt ,50,,,50 ,0 ,0 ,,,
DB,395056, Pudełko CED/ TWORNIK ,,FLAT," 1,000 ", szt ,1000,,,100 ,0 ,0 ,,,
DB,395061, Pudełko Galia C13 ,,FLAT, 100 , SZT ,10,,,10 ,0 ,0 ,,,
DB,395061A, Kit Szczotkotrzymacz ,,FLAT, 1 , PAL ,2,,,2 ,0 ,0 ,,,
DB,395072, Pudełko Białe ( na prototypy )  ,,FLAT, 50 , szt ,100,,,100 ,0 ,0 ,,,
DB,395074, Kratownica ,,FLAT, 80 , szt ,1,,,4 ,0 ,0 ,,,
DB,395079, Stabilizator Nissan  ,,FLAT, 100 , szt ,100,,,100 ,0 ,0 ,,,
DB,395083, Sciana boczna SL ,,FLAT, 50 , PAL ,50,,,50 ,0 ,0 ,,,
DB,395086, 1/2 Pudła C1  ,,FLAT, 5 , szt ,5,,,5 ,0 ,0 ,,,
DB,395100, Kratownica ESM ,,FLAT, 80 , PAL ,2,,,2 ,0 ,1 ,,,
DB,395101, Kratownica ,,FLAT, 70 , SZT ,9,,,9 ,0 ,0 ,,,
DB,395103, CTN KIT ,,FLAT, 1 , PAL ,15,,,15 ,0 ,5 ,,,
DB,395120, Kratownica DAIMLER ,,FLAT, 70 , SZT ,5,,,5 ,0 ,0 ,,,
DB,395121, Przekładka Daimler ,,FLAT, 100 , SZT ,6,,,6 ,0 ,0 ,,,
DB,395122, kratownica Ford ,,FLAT, 80 , szt ,2,,,2 ,0 ,0 ,,,
DB,395017A, Przekładka ,,FLAT, 160 , PAL ,2,,,2 ,0 ,0 ,,,
DB,395026A, Kratownica (96 ) ,,FLAT, 80 , szt ,2,,,2 ,0 ,0 ,,,
DB,395026F, Kratownica Ford ,,FLAT, 80 , szt ,2,,,2 ,0 ,0 ,,,
DB,395027SL, Przekładka ,,FLAT, 160 , PAL ,2,,,2 ,0 ,0 ,,,
DB,395054B, Pudełko Bendix ,,FLAT, 50 , szt ,50,,,50 ,0 ,0 ,,,
DB,395076A, AVTOVAZ KIT ,,FLAT, 1 , PAL ,20,,,20 ,0 ,0 ,,,
DB,395076H4, H4 KIT ,,FLAT, 1 , PAL ,20,,,20 ,0 ,0 ,,,
DB,PVNR08, Przekładka ,,FLAT, 100 , PAL ,2,,,2 ,0 ,0 ,,,
DB,395124, FORD  RUSSIA KIT  ,,FLAT, 1 , SZT ,5,,,5 ,0 ,0 ,,,
DB,395068, paleta do kitów ,,FLAT, 1 , SZT ,1,,,1 ,0 ,0 ,,,
DB,395223A, KIT 342826 ,,FLAT, 1 , szt ,2,,,2 ,0 ,0 ,,,
DB,IRAN BOX, INDUKTOR IRAN ,,FLAT, 100 , SZT ,100,,,100 ,0 ,0 ,,,
DB,395151, Kratownica Daimler Blacha TS12-101 ,,FLAT, 80 , SZT ,80,,,80 ,0 ,0 ,,,
DB,395152, Przekładka Daimler Blacha TS12-101 ,,FLAT, 80 , SZT ,80,,,80 ,0 ,0 ,,,
DB,395153, Kratownica Daimler Plastik TS12-101 ,,FLAT, 80 , SZT ,80,,,80 ,0 ,0 ,,,
DB,395104B, Przekładka PP 1080-910 ,,FLAT, 50 , SZT ,100,,,100 ,0 ,0 ,,,
DB,395300, Kit 395076A4 wzmocniony ,,FLAT, 1 , SZT ,5,,,5 ,0 ,0 ,,,
DB,395093, Kątownik 50-50-5-500  ,,FLAT, 100 , SZT ,50,,,50 ,0 ,0 ,,,
DB,BMW KRA , BMW małe ( kratownica) ,,FLAT, 20 , SZT ,20,,,20 ,0 ,0 ,szt,,
DB,395208, PSA Afryka (24 szt) ,,FLAT, 10 , SZT ,10,,,10 ,0 ,0 ,,,
DB,395050B, VW Krata dla D7R2 ,,FLAT, 40 , SZT ,40,,,40 ,0 ,0 ,,,
