Klient,Oczekiwany termin realizacji,Termin potwierdzony,Zewn. nr zamówienia,Produkt,Sztuk
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395000,Obwoluta C1 ,1
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395001,Pudło C1 ,1
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395002,Przekładka ,160
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395002W,Wypełniacz H4 po 80 ,40
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395006,PALETA FITO ,1
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395014,Tektura w Rolce ,1
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395016,Przekładka ,100
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395017,Przekładka ,160
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395018,Kratownica BMW ,10
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395019,Perzekładka BMW ,
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395023,Papier antykorozyjny ,1
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395029,Kratownica ,10
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395031A,INDUKTOR 12 ,40
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395031B,INDUKTOR 8 ,40
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395031C,Switch CAP ,40
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395036,Wkłady CED ,1000
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395037,Wkłady INDUIT ,1000
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395043,Kratownica H4 ( 45 ) ,60
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395047,RAMKA FITO ,1
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395048,Słupek FITO ,1
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395049,Przekładka ,160
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395051,Kratownica ,70
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395054,Pudełko REDUKTOR ,50
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395056,Pudełko CED/ TWORNIK ,1000
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395061,Pudełko Galia C13 ,100
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395061A,Kit Szczotkotrzymacz ,1
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395072,Pudełko Białe ( na prototypy )  ,50
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395074,Kratownica ,80
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395079,Stabilizator Nissan  ,100
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395083,Sciana boczna SL ,50
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395086,1/2 Pudła C1  ,5
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395100,Kratownica ESM ,80
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395101,Kratownica ,70
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395103,CTN KIT ,1
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395120,Kratownica DAIMLER ,70
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395121,Przekładka Daimler ,100
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395122,kratownica Ford ,80
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395017A,Przekładka ,160
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395026A,Kratownica (96 ) ,80
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395026F,Kratownica Ford ,80
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395027SL,Przekładka ,160
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395054B,Pudełko Bendix ,50
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395076A,AVTOVAZ KIT ,1
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395076H4,H4 KIT ,1
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,PVNR08,Przekładka ,100
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395124,FORD  RUSSIA KIT  ,1
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395068,paleta do kitów ,1
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395223A,KIT 342826 ,1
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,IRAN BOX,INDUKTOR IRAN ,100
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395151,Kratownica Daimler Blacha TS12-101 ,80
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395152,Przekładka Daimler Blacha TS12-101 ,80
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395153,Kratownica Daimler Plastik TS12-101 ,80
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395104B,Przekładka PP 1080-910 ,50
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395300,Kit 395076A4 wzmocniony ,1
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395093,Kątownik 50-50-5-500  ,100
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,BMW KRA ,BMW małe ( kratownica) ,20
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395208,PSA Afryka (24 szt) ,10
Valeo Electric and Electronic Systems Sp. z o. o.,"Pick-up: Unknown date, Receiving: Unknown date",,395050B,VW Krata dla D7R2 ,40
